1,1,0
2,2,1
3,2,2
4,2,3
5,3,1
6,3,2
7,4,4
8,4,5
9,4,6
10,5,7
11,6,1
12,6,2
13,6,8
14,7,1
15,7,2
16,7,9
17,8,10
18,8,11
19,9,4
20,9,12
21,10,13
22,10,14
23,10,15
24,10,16
25,11,13
26,11,14
27,11,17
28,11,4
29,12,7
30,13,7
31,14,4
32,14,18
33,14,19
34,15,10
35,15,11
36,16,7
37,16,20
38,17,7
39,17,21
40,18,10
41,18,11
42,19,4
43,19,22
44,19,23
45,19,24
46,20,4
47,20,7
48,21,10
49,21,11
50,22,10
51,22,11
52,23,10
53,23,11
54,24,13
55,24,14
56,24,25
57,25,4
58,25,26
59,26,1
60,26,2
61,26,27
62,27,4
63,27,7
64,27,28
65,28,10
66,28,11
67,29,4
68,29,29
69,29,17
70,30,1
71,30,2
72,31,4
73,31,19
74,31,30
75,32,13
76,33,4
77,33,19
78,33,31
79,34,1
80,34,2
81,34,24
82,35,4
83,36,4
84,36,22
85,36,24
86,36,17
87,37,1
88,37,2
89,37,32
90,38,13
91,38,17
92,39,4
93,39,33
94,39,21
95,40,13
96,41,10
97,41,11
98,41,24
99,42,1
100,42,2
101,42,3
102,43,1
103,43,2
104,43,24
105,44,7
106,45,4
107,45,34
108,46,1
109,46,13
110,46,14
111,47,13
112,47,14
113,47,35
114,47,4
115,48,10
116,48,11
117,49,10
118,49,11
119,50,13
120,50,14
121,50,36
122,50,37
123,51,10
124,51,11
125,52,13
126,52,14
127,52,38
128,52,35
129,53,4
130,53,7
131,53,17
132,54,7
133,54,24
134,55,1
135,55,2
136,55,8
137,56,1
138,56,2
139,56,8
140,57,1
141,57,2
142,58,7
143,58,39
144,58,40
145,59,13
146,59,14
147,59,20
148,60,13
149,60,14
150,60,41
151,60,17
152,61,7
153,61,39
154,61,40
155,62,10
156,62,11
157,62,7
158,62,42
159,63,13
160,63,14
161,63,15
162,63,16
163,64,7
164,64,39
165,64,40
166,65,7
167,66,13
168,66,14
169,66,43
170,66,4
171,67,1
172,67,2
173,67,3
174,68,1
175,68,2
176,68,3
177,69,13
178,69,14
179,69,44
180,70,10
181,70,11
182,70,45
